session_date,observer_id,session_id,location _d,participant_id,Gender,session_start,session_end,observer/session/task id,What,start_time,end_time,elapsed_time,total_time,total_time(fixed_sec),Who,How,Where,ended by,multi_with,num_of_multitask_fragments,num_of_tasks_in_multi_1,multi_task_id_1,multi_start_1,multi_end_1,num_of_tasks_in_multi_2,multi_task_id_2,multi_start_2,multi_end_2,total_overlapping_time,is_interrupting_task?,interrupted_by,num_of_interrupts,int_task_id_1,int_start_1,int_end_1,int_task_id_2,int_start_2,int_end_2,active_1,active_2,active_3,inactive_1,inactive_2,is_session_complete?
31-May-21,10020,10045,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10045_9,Off-Screen,17:50:49,17:54:55,0:04:06,0:04:06,246,0,0,Off-Screen,10020_10045_10,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:04:06,,,,,TRUE
31-May-21,10020,10063,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10063_9,Off-Screen,17:50:49,17:54:55,0:04:06,0:04:06,246,0,0,Off-Screen,10020_10063_10,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:04:06,,,,,TRUE
19-Jun-21,10040,10141,Season 1 Episode 7,Bob Kelso,M,22:54:43,23:16:50,10040_10141_7,Off-Screen,23:00:35,23:04:39,0:04:04,0:04:04,244,0,0,Off-Screen,10040_10141_8,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:04:04,,,,,TRUE
1-Jun-21,10040,10040,Season1 Episode 1,Bob Kelso,M,1:34:14,1:59:51,10040_10040_1,Off-Screen,1:34:14,1:38:06,0:03:52,0:03:52,232,0,0,Off-Screen,10040_10040_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:03:52,,,,,TRUE
31-May-21,10020,10064,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10064_8,Off-Screen,13:29:51,13:33:36,0:03:45,0:03:45,225,0,0,Off-Screen,10020_10064_9,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:03:45,,,,,TRUE
31-May-21,10020,10046,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10046_8,Off-Screen,13:29:51,13:33:36,0:03:45,0:03:45,225,0,0,Off-Screen,10020_10046_9,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:03:45,,,,,TRUE
17-Jun-21,10040,10120,Season 1 Episode 6,Bob Kelso,M,0:48:13,1:10:16,10040_10120_8,Off-Screen,0:51:31,0:55:14,0:03:43,0:03:43,223,0,0,Off-Screen,10040_10120_9,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:03:43,,,,,TRUE
31-May-21,10020,10045,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10045_7,Off-Screen,17:46:52,17:50:14,0:03:22,0:03:22,202,0,0,Off-Screen,10020_10045_8,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:03:22,,,,,TRUE
31-May-21,10020,10063,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10063_7,Off-Screen,17:46:52,17:50:14,0:03:22,0:03:22,202,0,0,Off-Screen,10020_10063_8,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:03:22,,,,,TRUE
12-Apr-21,10040,10000,Episode 1 Season 1,Bob Kelso,M,23:20:18,23:43:38,10040_10000_3,Off-Screen,23:23:19,23:26:18,0:02:59,0:02:59,179,0,0,Off-Screen,10040_10000_4,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:59,,,,,TRUE
